id_clasificacion;id_clasificacion_dep;descripcion;nivel_clasificacion
331;58;GELATINA Y GRENETINA;4
332;59;ATE;4
333;59;CAJETA;4
334;59;CONFITERIA;4
335;59;CREMA PARA UNTAR;4
336;59;GRANILLO;4
337;59;GRENATINA;4
338;59;MERMELADA;4
339;60;CAMARON MOLIDO;4
340;60;CARBONATO;4
341;60;CHILE PIQUIN;4
342;60;HARINA;4
343;60;PEPITA MOLIDA;4
344;60;ROYAL;4
345;61;PURES;4
346;61;SALSA CATSUP;4
347;61;SALSAS COMPUESTAS;4
348;61;SALSAS PICANTES;4
349;61;ESPAGUETTI Y PIZZA;4
350;61;VARIAS CONDIMENTADAS;4
351;62;CREMAS;4
352;62;PASTAS;4
353;62;PASTAS FINAS;4
354;62;SOPAS INSTANTANEAS;4
355;62;SOPAS PREPARADAS;4
356;63;ATOLE;4
357;63;CAFE;4
358;63;CHOCOLATE;4
359;63;SABORIZANTES PARA LECHE;4
360;63;SUSTITUTO DE CREMA;4
361;63;TE;4
362;64;CARBON;4
363;65;ALUMINIO;4
364;65;BOLSAS;4
365;65;CERILLOS;4
366;65;CHAROLAS;4
367;65;CUBIERTOS;4
368;65;EMVOLTURAS;4
369;65;MOLDES;4
370;65;PALILLOS;4
371;65;PLATOS;4
372;65;POPOTES;4
373;65;TAPAS;4
374;65;VASOS;4
375;66;DESINFECTANTES DE VERDURAS;4
376;67;PANUELOS;4
377;67;HIGIENICOS;4
378;67;SERVILLETAS;4
379;67;TOALLAS DESECHABLES;4
380;68;CERAS;4
381;68;CIRIOS;4
382;68;VELADORAS;4
383;68;VELAS;4
384;69;BABEROS;4
385;69;BIBERONES Y MAMILAS;4
386;69;CALENTADORES;4
387;69;CHUPONES;4
388;69;ESCOBILLONES;4
389;69;ESPONJA;4
390;69;ESTUCHES;4
391;69;MORDEDERAS;4
392;69;SONAJAS;4
393;69;VASOS PLATOS Y CUBIERTOS;4
394;70;ADULTOS;4
395;70;CALZON ENTRENADOR;4
396;70;NINA;4
397;70;NINO;4
398;70;TOALLITAS HUMEDAS;4
399;70;UNISEX;4
400;71;ACEITES;4
401;71;APLICADORES;4
402;71;CREMAS;4
403;71;JABON;4
404;71;LOCION Y COLONIAS;4
405;71;POMADAS;4
406;71;SHAMPOO;4
407;71;TALCOS;4
408;71;VASELINAS;4
409;72;CARTUCHOS;4
410;72;CREMAS PARA AFEITAR;4
411;72;CREMAS Y CERAS DEPILADORAS;4
412;72;RASTRILLOS Y NAVAJAS;4
413;73;MAQUILLAS POLVOS Y CORRECTORES;4
414;73;DESMAQUILLANTES;4
415;73;Esmaltes y Quita Esmaltes;4
416;74;BRONCEADORES;4
417;74;CREMA LIQUIDA;4
418;74;CREMA SOLIDA;4
419;74;ESPONJAS Y CEPILLOS;4
420;74;JABONES;4
421;74;JABONES LIQUIDOS;4
422;74;POMADA;4
423;74;TRATAMIENTOS FACIALES;4
424;75;BRILLANTINAS;4
425;75;CREMA PARA PEINAR;4
426;75;FIJADORES Y MODELADORES;4
427;75;SHAMPOO;4
428;75;SHAMPOO 2 EN 1;4
429;75;SHAMPOO ACONDICIONADOR;4
430;75;SHAMPOO ANTICASPA;4
431;75;TINTES;4
432;75;TRATAMIENTOS;4
433;76;CEPILLOS DENTALES;4
434;76;ENJUAGUE BUCALES;4
435;76;ESPICIALIDADES;4
436;76;HILOS DENTALES;4
437;76;PASTA DE DIENTES;4
438;77;PANTI PROTECTORES;4
439;77;TAMPONES;4
440;77;TOALLAS SANITARIAS;4
441;78;CEPILLOS;4
442;78;CERA LIQUIDA;4
443;78;CERA SOLIDA;4
444;78;JABON PARA CALZADO;4
445;78;LUSTRADORES;4
446;78;TINTAS;4
447;79;DESODORANTES EN AEROSOL;4
448;79;DESODORANTES EN BARRA;4
449;79;DESODORANTES ROLL-ON;4
450;79;LOCIONES;4
451;79;TALCO PARA DAMA;4
452;80;DESODORANTE EN AEROSOL;4
453;80;DESODORANTE EN BARRA;4
454;80;DESODORANTE ROLL-ON;4
455;80;ESTUCHES;4
456;80;LOCIONES;4
457;80;TALCOS;4
458;81;CEPILLOS;4
459;81;ESCOBAS;4
460;81;FIBRAS MULTI USO;4
461;81;GUANTES DE LATEX;4
462;81;GERGAS Y FRANELAS;4
463;81;RECOGEDORES;4
464;81;TELAS MULTIUSO Y TOALLAS;4
465;81;TRAPEADORES Y JALADORES;4
466;82;AEROSOL;4
467;82;CONTINUOS;4
468;82;ELECTRICOS;4
469;82;LIQUIDOS;4
470;83;AEROSOL;4
471;83;ELECTRICOS;4
472;83;HERMISIDAS;4
473;83;SOLIDOS;4
474;83;TRAMPAS;4
475;84;BLAQUEADOR;4
476;84;COLORANTES;4
477;84;DETERGENTES EN POLVO;4
478;84;DETERGENTES LIQUIDOS;4
479;84;DETERGENTES EN POLVO KG;4
480;84;JABONES;4
481;84;PINZAS Y TENDEDEROS;4
482;84;PLANCHADO;4
483;84;REMOVEDOR DE MANCHAS;4
484;84;SUAVIZANTES LIQUIDOS;4
485;85;ACEITES Y PULIMENTOS P/MUEBLES;4
486;85;DE PINO;4
487;85;MULTI USOS;4
488;85;PARA ALFOMBRA;4
489;85;PARA VIDRIOS;4
490;86;LAVATRASTE LIQUIDO;4
